id	source	coverage_tier	nvrtc-o3_classification	nvvm-o0_classification	nvvm-o3_classification	evidence_status
cuda/wave-lane-index-multidim-3d.slang#cuda-1	cuda/wave-lane-index-multidim-3d.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/quad-control/quad-control-comp-functionality.slang#cuda-1	hlsl-intrinsic/quad-control/quad-control-comp-functionality.slang	extension	correct	preflight	preflight	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-active-count-bits.slang#cuda-1	hlsl-intrinsic/wave-active-count-bits.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-active-count-bits.slang#cuda-2	hlsl-intrinsic/wave-active-count-bits.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-active-product.slang#cuda-1	hlsl-intrinsic/wave-active-product.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-broadcast-lane-at-vk.slang#cuda-1	hlsl-intrinsic/wave-broadcast-lane-at-vk.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-builtins-interface-specialization.slang#cuda-1	hlsl-intrinsic/wave-builtins-interface-specialization.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-diverge.slang#cuda-1	hlsl-intrinsic/wave-diverge.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-equality.slang#cuda-1	hlsl-intrinsic/wave-equality.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-get-lane-index.slang#cuda-1	hlsl-intrinsic/wave-get-lane-index.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-get-lane-mask.slang#cuda-1	hlsl-intrinsic/wave-get-lane-mask.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-get-num-waves.slang#cuda-1	hlsl-intrinsic/wave-get-num-waves.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-get-wave-index.slang#cuda-1	hlsl-intrinsic/wave-get-wave-index.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-is-first-lane.slang#cuda-1	hlsl-intrinsic/wave-is-first-lane.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-mask/wave-active-product.slang#cuda-1	hlsl-intrinsic/wave-mask/wave-active-product.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
