id	source	nvrtc-o3_classification	nvrtc-o3_return_code	nvrtc-o3_executed	nvrtc-o3_passed	nvrtc-o3_ignored	nvvm-o0_classification	nvvm-o0_return_code	nvvm-o0_executed	nvvm-o0_passed	nvvm-o0_ignored	nvvm-o3_classification	nvvm-o3_return_code	nvvm-o3_executed	nvvm-o3_passed	nvvm-o3_ignored	evidence_status
bugs/empty-switch.slang#cuda-1	bugs/empty-switch.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/frexp-double.slang#cuda-1	bugs/frexp-double.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/frexp.slang#cuda-1	bugs/frexp.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-11627-flag-enum-compound-assign.slang#cuda-1	bugs/gh-11627-flag-enum-compound-assign.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-3637.slang#cuda-1	bugs/gh-3637.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-3980.slang#cuda-1	bugs/gh-3980.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-4533.slang#cuda-1	bugs/gh-4533.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-5776.slang#cuda-1	bugs/gh-5776.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-7441.slang#cuda-1	bugs/gh-7441.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-8121.slang#cuda-1	bugs/gh-8121.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-8185.slang#cuda-1	bugs/gh-8185.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/legalize-defuse-no-zero-init-non-var-primitive.slang#cuda-1	bugs/legalize-defuse-no-zero-init-non-var-primitive.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/legalize-defuse-no-zero-init-non-var.slang#cuda-1	bugs/legalize-defuse-no-zero-init-non-var.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/legalize-defuse-no-zero-init.slang#cuda-1	bugs/legalize-defuse-no-zero-init.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/loop-optimize.slang#cuda-1	bugs/loop-optimize.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/matrix-reshape.slang#cuda-1	bugs/matrix-reshape.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/metal-return-value-lost.slang#cuda-1	bugs/metal-return-value-lost.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/overload-ambiguous-1.slang#cuda-1	bugs/overload-ambiguous-1.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/overload-ambiguous-2.slang#cuda-1	bugs/overload-ambiguous-2.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
