number,state,title,created_at,closed_at,comments,labels,components,is_bug,is_crash,related_prs
9030,open,Implement cooperative-matrix-2 support in RHI backend and remove validation WAR,2025-11-17T11:12:58Z,,0,,cooperative-matrix,False,False,
9029,open,OpExecutionMode set to LocalSizeId when not desired,2025-11-17T02:42:44Z,,1,,spirv|glsl,False,False,
9027,open,Structures which get repacked are missing debug line numbers for their members,2025-11-17T00:35:26Z,,0,Dev Opened|Neptune,spirv|glsl,False,False,
9025,open,"RaytracingAccelerationStructure typename appears as ""unamed"" in SPIR-V output.",2025-11-16T23:09:45Z,,0,Dev Opened|Neptune,spirv|glsl,False,False,
9024,open,slangc not reading from RWTexture2D correctly,2025-11-16T09:41:45Z,,0,,spirv|glsl,False,True,
9023,open,Request: add VK SER support via new EXT SER extension(VK_EXT_ray_tracing_invocation_reorder),2025-11-15T23:27:49Z,,0,,glsl,False,False,
9022,open,SPIR-V validation error while loading from 'bindless' uint64_t image,2025-11-15T11:44:33Z,,0,,spirv,False,False,
9021,open,SPIR-V validation error while accessing unbounded arrays,2025-11-15T03:01:08Z,,0,,spirv|glsl,False,False,
9019,open,Embed version in source archives,2025-11-14T20:48:03Z,,0,Dev Opened,,False,False,
9018,open,HitObject.GetCurrentTime has incorrect availability,2025-11-14T18:39:27Z,,0,Dev Opened|raytracing,dxil|hlsl,False,False,
9016,open,Read Access Violation while accessing slang::EntryPointLayout,2025-11-14T15:33:42Z,,0,,spirv|dxil,False,False,
9011,open,Compiler crash with array of ConstantBuffer,2025-11-14T01:54:19Z,,0,,spirv,False,True,
9009,open,Replace `${{{` and `}}}` with `${` and `$}`,2025-11-13T19:17:19Z,,0,Dev Opened,generics,False,False,
9007,open,CUDA backend creates invalid layout for kernel launch parameters,2025-11-13T13:20:41Z,,1,Dev Opened|RTR|cuda,cuda,False,False,
9006,open,Compiler segfault on nested lambdas,2025-11-13T12:30:03Z,,0,,,False,False,
9004,open,Support module cache and precompiled modules together,2025-11-13T10:03:31Z,,3,Needs reporter feedback|Dev Opened,,False,False,
9003,open,Implicit casts not always considered for generic value deduction from passed-in function signatures,2025-11-13T08:32:23Z,,3,Dev Reviewed|Typesystem,generics,False,False,
9002,open,Add mma instructions for CoopMat intrinsic for cuda target.,2025-11-13T05:34:36Z,,0,Dev Opened,cuda,False,False,
8999,open,Requesting ability to set custom name for the 'globalParams' variable,2025-11-12T22:19:43Z,,0,Backlog,spirv|glsl,False,False,
8995,open,Create CI test coverage for MaterialX repo,2025-11-12T19:13:10Z,,0,Dev Opened,,False,False,
8991,open,SPIR-V debug output lists incorrect function types,2025-11-12T15:39:03Z,,1,Dev Opened|Neptune,spirv|glsl,False,False,
8989,open,SPIR-V output of ‎tests/language-feature/pointer/ptr-to-groupshared.slang may be missing VariablePointers capability,2025-11-12T13:37:41Z,,2,Dev Opened,spirv,False,False,
8987,open,The nightly coverage runs should also be run on Windows,2025-11-12T13:14:59Z,,0,Dev Opened,,False,False,
8979,open,slang-test should have debug verbosity mode,2025-11-11T08:40:24Z,,0,Dev Opened,,False,False,
8965,open,Link time constant robustness: Audit and correct any layout query API functions,2025-11-10T15:21:32Z,,0,Dev Opened,,False,True,
8964,open,Link time constant robustness: Remove uses of raw integer types in type layout passes,2025-11-10T15:17:04Z,,0,Dev Opened,,False,False,
8959,open,Unexpected error when compiling shader with atomic operations,2025-11-09T17:06:04Z,,3,Dev Reviewed|Diagnostics,spirv|glsl|hlsl,False,False,
8958,open,"Parameter block reflection api doesn't detect local parameter blocks on entry-point, when used together with push constants",2025-11-09T11:20:31Z,,2,Dev Reviewed,,False,False,
8957,open,Slang compilation aborted due to internal error when using link-time type specialization + interface on varying parameters,2025-11-09T04:13:17Z,,5,Dev Reviewed,slang-core|slang-ir|spirv|glsl|hlsl,False,True,
8952,open,Incorrect resource type of buffer of handles in a struct in a parameterblock,2025-11-08T07:48:40Z,,3,Dev Opened|RTR,spirv,False,False,
8948,open,Review Q3 backlog,2025-11-07T21:07:20Z,,0,Dev Opened,,False,False,
8946,open,Enable slangpy testing on Linux,2025-11-07T09:04:18Z,,0,Dev Opened|CI Improvement,,False,False,
8945,open,Remove use of old cmake policy for CMP0135,2025-11-07T08:54:41Z,,0,Dev Opened,,False,False,
8939,open,SV_VertexID is not working when targeting SPIR-V from Slang CLI 2025.18,2025-11-06T13:12:09Z,,1,Dev Reviewed|Diagnostics,spirv|generics,False,False,
8937,open,BindlessSpaceIndex fails when set index is 0,2025-11-06T05:42:49Z,,4,Dev Reviewed|Diagnostics,spirv,False,False,
8934,open,exception of N5Slang13InternalErrorE: unimplemented: Unhandled global inst in spirv-emit:,2025-11-06T05:04:40Z,,1,Dev Reviewed,spirv,False,False,
